"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2127T0557607B","2021-10-22","2021-10-22","2021-10-20","DPE 2006 tertiaire et ERP",,"2031-10-21",1,,"dpe tertiaire facture",,,"C","C",147.2,23.6,2015,,"2013-2021","autres tertiaires non ERP",500,,15,,"Roland Roche","Gaillon","27275","3","27275_0179_00003","3 Rue Roland Roche 27600 Gaillon","27600",0.57,"Rue Roland Roche",579022.07,6897401.58,27600,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","GAILLON","27","28",1386.5,1386.5,"Gaz naturel","périmètre de l'usage inconnu",199.9,2021,424.5,976.4,"Électricité","périmètre de l'usage inconnu",154.6,2020,289.5,665.9,"Électricité","périmètre de l'usage inconnu",105.4,2019
"2389T1771753L","2023-05-30","2023-05-30","2022-06-23","DPE 2006 tertiaire et ERP",,"2033-05-29",2.2,,"dpe tertiaire facture",,,"C","B",200.4,13.9,1948,"5ème Catégorie","1948-1974","W : Administrations, banques, bureaux",0,1145,100,,"6 rue Henri Sanglier","Sens","89387","6","89387_2715_00006","6 Rue Henri Sanglier 89100 Sens","89100",0.49,"Rue Henri Sanglier",722922.18,6788492.03,89100,0,,"Espace Henri Sanglier",,,"adresse géocodée ban à l'adresse","SENS","89","27",163666.7,163666.7,"Réseau de Chauffage urbain","périmètre de l'usage inconnu",12880.3,2019,38593,88763.9,"Électricité","périmètre de l'usage inconnu",11194.7,2019,,,,,,
"2265T0677387M","2022-04-01","2022-04-01","2022-04-01","DPE 2006 tertiaire et ERP",,"2032-03-31",2.1,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","J : Structures d’accueil pour personnes âgées ou personnes handicapées",0,136,100,,"9 RUE SAINT PIERRE","Lourdes","65286","9","65286_2250_00009","9 Rue Saint Pierre 65100 Lourdes","65100",0.52,"Rue Saint Pierre",451876.64,6226673.62,65100,0,,,,,"adresse géocodée ban à l'adresse","LOURDES","65","76",,,,,,,,,,,,,,,,,,
"2393T0330621L","2023-02-01","2023-02-01","2023-01-30","DPE 2006 tertiaire et ERP",,"2033-01-31",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,43.8,100,,"15 rue de la Charronnerie","Saint-Denis","93066","15","93066_1464_00015","15 Rue de la Charronnerie 93200 Saint-Denis","93200",0.68,"Rue de la Charronnerie",652450.28,6871047.18,93200,0,,"23/IMO/0207",,"Salon de coiffure rdc","adresse géocodée ban à l'adresse","ST DENIS","93","11",,,,,,,,,,,,,,,,,,
"2217T1968535E","2022-09-01","2022-09-01","2022-08-31","DPE 2006 tertiaire et ERP",,"2032-08-31",2.2,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","U : Établissements de soins",0,25,100,,"2 RUE DE L'EGLISE","Thairé","17443","2","17443_0023_00002","2 Rue de l'Eglise 17290 Thairé","17290",0.4,"Rue de l'Eglise",390720,6560476.11,17290,0,,"22/IMO/1681",,,"adresse géocodée ban à l'adresse","THAIRÉ","17","75",,,,,,,,,,,,,,,,,,
"2349T1785700I","2023-05-31","2023-05-31","2023-05-31","DPE 2006 tertiaire et ERP",,"2033-05-30",2.2,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","2006-2012","U : Établissements de soins",0,17.7,100,,"1 ter Rue des Moulins","Morannes sur Sarthe-Daumeray","49220","1ter","49220_0320_00001_ter","1ter Rue des Moulins 49640 Morannes sur Sarthe-Daumeray","49640",0.54,"Rue des Moulins",443947.57,6743712.46,49640,0,,"MB31-05-23-ARN-0978",,,"adresse géocodée ban à l'adresse","MORANNES SUR SARTHE, France","49","52",,,,,,,,,,,,,,,,,,
"2231T1936608T","2022-08-29","2022-08-29","2022-08-29","DPE 2006 tertiaire et ERP",,"2032-08-28",2.1,,"dpe tertiaire vierge",,,,,,,1900,,"avant 1948","autres tertiaires non ERP",500,,95,,"de Saint-Loup-Cammas - RD77","Pechbonnieu","31410","2bis","31410_gz1tw9_00002_bis","2bis Route de Saint-Loup-Cammas - RD77 31140 Pechbonnieu","31140",0.83,"Route de Saint-Loup-Cammas - RD77",576371.12,6290597.17,31140,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","PECHBONNIEU","31","76",,,,,,,,,,,,,,,,,,
"2230T0170870S","2022-01-28","2022-01-28","2022-01-07","DPE 2006 tertiaire et ERP",,"2032-01-27",2.1,,"dpe tertiaire facture",,,"C","A",156.7,4.4,1947,"5ème Catégorie","avant 1948","locaux d'entreprise (bureaux)",0,40.4,100,,"15 Bis Grande Rue","Clarensac","30082","15","30082_0072_00015","15 Grandâ€Rue 30870 Clarensac","30870",0.54,"Grandâ€Rue",797951.83,6303939.21,30870,0,,,,,"adresse géocodée ban à l'adresse","CLARENSAC","30","76",3030,6969,"Électricité","périmètre de l'usage inconnu",879,2021,,,,,,,,,,,,
"2284T1241177L","2022-06-07","2022-06-03","2022-06-03","DPE 2006 tertiaire et ERP",,"2032-06-02",2.1,,"dpe tertiaire facture",,,"F","C",466.2,13,2010,,"2006-2012","autres tertiaires non ERP",500,,74,,"de la Grange des Roues","Sorgues","84129",,"84129_0650","Chemin de la Grange des Roues 84700 Sorgues","84700",0.67,,850101.72,6326405.12,84700,,,,,,"adresse géocodée ban à l'adresse","SORGUES","84","93",15000,34500,"Électricité","périmètre de l'usage inconnu",1500,2022,,,,,,,,,,,,
"2274T2582103D","2022-11-02","2022-11-02","2022-11-02","DPE 2006 tertiaire et ERP",,"2032-11-01",2.2,,"dpe tertiaire facture",,,"C","B",148.4,4.1,1949,,"1948-1974","autres tertiaires non ERP",500,,39.4,,"40 Grande-Rue","Seyssel","74269",,"74269_0140","Grande rue 74910 Seyssel","74910",0.48,"Grande rue",919525.57,6543874.27,74910,0,"Commerce Audition",,,,"adresse non géocodée ban car aucune correspondance trouvée","SEYSSEL","74","84",2541,5844.3,"Électricité","périmètre de l'usage inconnu",507.6,2022,,,,,,,,,,,,
