"N°DPE","Date_réception_DPE","Date_établissement_DPE","Date_visite_diagnostiqueur","Modèle_DPE","N°_DPE_remplacé","Date_fin_validité_DPE","Version_DPE","N°_DPE_immeuble_associé","Méthode_du_DPE","N°_immatriculation_copropriété","Invariant_fiscal_logement","Etiquette_DPE","Etiquette_GES","Conso_kWhep/m²/an","Emission_GES_kgCO2/m²/an","Année_construction","Catégorie_ERP","Période_construction","Secteur_activité","Nombre_occupant","Surface_(SHON)","Surface_utile","Type_énergie_principale_chauffage","Adresse_brute","Nom__commune_(BAN)","Code_INSEE_(BAN)","N°_voie_(BAN)","Identifiant__BAN","Adresse_(BAN)","Code_postal_(BAN)","Score_BAN","Nom__rue_(BAN)","Coordonnée_cartographique_X_(BAN)","Coordonnée_cartographique_Y_(BAN)","Code_postal_(brut)","N°_étage_appartement","Nom_résidence","Complément_d'adresse_bâtiment","Cage_d'escalier","Complément_d'adresse_logement","Statut_géocodage","Nom__commune_(Brut)","N°_département_(BAN)","N°_région_(BAN)","Conso_é_finale_énergie_n°1","Conso_é_primaire_énergie_n°1","Type_énergie_n°1","Type_usage_énergie_n°1","Frais_annuel_énergie_n°1","Année_relève_conso_énergie_n°1","Conso_é_finale_énergie_n°2","Conso_é_primaire_énergie_n°2","Type_énergie_n°2","Type_usage_énergie_n°2","Frais_annuel_énergie_n°2","Année_relève_conso_énergie_n°2","Conso_é_finale_énergie_n°3","Conso_é_primaire_énergie_n°3","Type_énergie_n°3","Type_usage_énergie_n°3","Frais_annuel_énergie_n°3","Année_relève_conso_énergie_n°3"
"2274T1420593R","2022-06-24","2022-06-09","2022-05-30","DPE 2006 tertiaire et ERP",,"2032-06-08",2.1,,"dpe tertiaire facture",,,"E","D",293.8,45.6,1973,,"1948-1974","autres tertiaires non ERP",500,,351.3,,"de la Cry-Cuchet","Combloux","74083","2808","74083_0119_02808","2808 Route de la Cry-Cuchet 74920 Combloux","74920",0.87,"Route de la Cry-Cuchet",981012.69,6538935.61,74920,,,,,,"adresse géocodée ban à l'adresse","COMBLOUX","74","84",59780.1,59780.1,"Fioul domestique","périmètre de l'usage inconnu",5465.1,2021,21195,48748.5,"Électricité","périmètre de l'usage inconnu",3421.6,2022,44675.6,44675.6,"Fioul domestique","périmètre de l'usage inconnu",4084.2,2020
"2267T0136498D","2022-01-24","2022-01-20","2022-01-20","DPE 2006 tertiaire et ERP",,"2032-01-19",2,,"dpe tertiaire vierge",,,,,,,1997,,"1989-2000","autres tertiaires non ERP",500,,170.9,,"Rue Déserte","Strasbourg","67482","6bis","67482_1740_00006_bis","6bis Rue Déserte 67000 Strasbourg","67000",0.81,"Rue Déserte",1049156.39,6841966.95,67000,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","STRASBOURG","67","44",,,,,,,,,,,,,,,,,,
"2185T0868491J","2021-12-08","2021-12-08","2021-12-07","DPE 2006 tertiaire et ERP",,"2031-12-07",2,,"dpe tertiaire vierge",,,"A","A",0.1,0.1,2009,"5ème Catégorie","2006-2012","N : Restaurants et débits de boisson",2,60,100,,"Chemin de Bel Air - Pizza'Ya","Soullans","85284",,"85284_0022","Chemin de Bel-Air 85300 Soullans","85300",0.56,,326319.4,6645189.84,85300,0,,,,"Ce bien ne fait pas partie d'une copropriété","adresse géocodée ban à l'adresse","SOULLANS","85","52",,,,,,,,,,,,,,,,,,
"2284T1918831B","2022-08-26","2022-08-26","2022-03-08","DPE 2006 tertiaire et ERP",,"2032-08-25",2.1,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","avant 1948","N : Restaurants et débits de boisson",0,73.5,100,,"Rue de la République","Sault","84123",,"84123_0048","Rue de la Republique 84390 Sault","84390",0.41,,892845.34,6335511.77,84390,0,,"0022/0085/TRL",,,"adresse géocodée ban à l'adresse","SAULT","84","93",,,,,,,,,,,,,,,,,,
"2110T1021893O","2022-01-07","2021-10-11","2021-09-27","DPE 2006 tertiaire et ERP",,"2031-10-10",2,,"dpe tertiaire vierge",,,,,,,1997,"1ère Catégorie","1989-2000","autres tertiaires non ERP",5,188,188,,"36 rue Danton","Pont-Sainte-Marie","10297","36","10297_0501_00012","12 Rue Marc Verdier 10150 Pont-Sainte-Marie","10150",0.61,"rue Danton",782007.59,6803559.16,10150,,,,,,"adresse géocodée ban à l'adresse","Pont-Sainte-Marie","10","44",,,,,,,,,,,,,,,,,,
"2267T3077849A","2022-12-19","2022-12-05","2022-12-05","DPE 2006 tertiaire et ERP",,"2032-12-04",2.2,,"dpe tertiaire vierge",,,,,,,2007,,"2006-2012","autres tertiaires non ERP",500,,86,,"4a Rue de la Hollau","Ostwald","67365","4a","67365_0393_00004_a","4a Rue de la Hollau 67540 Ostwald","67540",0.96,"Rue de la Hollau",1047469.24,6837909.6,67540,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","OSTWALD","67","44",,,,,,,,,,,,,,,,,,
"2357T1188778C","2023-04-11","2023-04-11","2023-04-11","DPE 2006 tertiaire et ERP",,"2033-04-10",2.2,,"dpe tertiaire vierge",,,,,,,1949,,"avant 1948","N : Restaurants et débits de boisson",5,31.9,35.1,,"32 Rue Général Franiatte","Montigny-lès-Metz","57480","32","57480_0360_00032","32 rue général franiatte 57950 Montigny-lès-Metz","57950",0.97,"rue général franiatte",930266.53,6892270.94,57950,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","MONTIGNY LES METZ","57","44",,,,,,,,,,,,,,,,,,
"2293T0688030X","2022-04-04","2022-04-04","2022-03-31","DPE 2006 tertiaire et ERP",,"2032-04-03",2.1,,"dpe tertiaire vierge",,,,,,,1930,,"avant 1948","locaux d'entreprise (bureaux)",500,,160,,"Gabriel Péri","Saint-Denis","93066","91","93066_4111_00091","91 Rue Gabriel Péri 93200 Saint-Denis","93200",0.98,"Rue Gabriel Péri",652815.52,6870844.46,93200,0,"59058 F°14 Bâtiment","Fond cour face",,,"adresse géocodée ban à l'adresse","SAINT-DENIS","93","11",,,,,,,,,,,,,,,,,,
"2391T0795305V","2023-03-10","2023-03-09","2023-03-03","DPE 2006 tertiaire et ERP",,"2033-03-08",2.2,,"dpe tertiaire facture",,,"E","B",311,15,1990,"1ère Catégorie","1989-2000","autres tertiaires non ERP",2,104,104,"Électricité","2 Jean Cocteau","Corbeil-Essonnes","91174","2","91174_2326_00002","2 Rue Jean Cocteau 91100 Corbeil-Essonnes","91100",0.64,"Rue Jean Cocteau",659307.16,6834532.55,91814,,"C.C MARQUES AVENUE",,,"1-Bâtiment n°1-89-LogZone","adresse non géocodée ban car aucune correspondance trouvée","CORBEIL-ESSONNES","91","11",12495.3,276.3,"Électricité","Chauffage",3261.1,2020,3641.5,35,"Gaz naturel","Chauffage",297.1,2020,,,,,,
"2213T2307192H","2022-10-05","2022-10-05","2022-10-04","DPE 2006 tertiaire et ERP",,"2032-10-04",2.2,,"dpe tertiaire vierge",,,,,,,2021,"5ème Catégorie","2013-2021","N : Restaurants et débits de boisson",500,,1486.7,,"208, Avenue du President Wilson","La Ciotat","13028","208","13028_6usim1_00208","208 Avenue du President Wilson 13600 La Ciotat","13600",0.73,"Avenue du President Wilson",912506.11,6234723.46,13600,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","LA CIOTAT","13","93",,,,,,,,,,,,,,,,,,
"2113T0981951L","2021-12-23","2021-12-23","2021-12-22","DPE 2006 tertiaire et ERP",,"2031-12-22",2,,"dpe tertiaire vierge",,,,,,,1989,"5ème Catégorie","1989-2000","U : Établissements de soins",0,89.6,100,,"AV ELZEARD ROUGIER","Aubagne","13005",,"13005_0580","Avenue Elzeard Rougier 13400 Aubagne","13400",0.63,,908608.7,6247253.73,13400,0,,,,,"adresse géocodée ban à l'adresse","AUBAGNE","13","93",,,,,,,,,,,,,,,,,,
"2101T0056172C","2021-07-16","2021-07-16","2021-07-12","DPE 2006 tertiaire et ERP",,"2031-07-15",1,,,,,"A","A",0.1,0.1,1989,"1ère Catégorie","1989-2000","J : Structures d’accueil pour personnes âgées ou personnes handicapées",,500,100,,"Rue du Marquis Albert de Dion","Ambérieu-en-Bugey","01004",,"01004_0456","Rue Marquis Albert de Dion 01500 Ambérieu-en-Bugey","01500",0.5,,881320.27,6543255.79,1500,0,,,,,"adresse géocodée ban à l'adresse","AMBÉRIEU-EN-BUGEY","01","84",0.1,0.1,"Électricité","périmètre de l'usage inconnu",0.1,2021,,,,,,,,,,,,
"2167T0581843T","2021-10-27","2021-09-21","2021-09-21","DPE 2006 tertiaire et ERP",,"2031-09-20",1,,"dpe tertiaire bâtiment neuf",,,,,,,1949,,"1948-1974","GHZ : Usage mixte",500,,671,,"18 Chemin du Guirbaden","Grendelbruch","67167","18","67167_0120_00018","18 Quartier du Guirbaden 67190 Grendelbruch","67190",0.5,"Quartier du Guirbaden",1020004.72,6830397.55,67190,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","GRENDELBRUCH","67","44",,,,,,,,,,,,,,,,,,
"2208T2724284C","2022-11-17","2022-11-17","2022-11-17","DPE 2006 tertiaire et ERP",,"2032-11-16",2.2,,"dpe tertiaire vierge",,,,,,,1949,,"1948-1974","autres tertiaires non ERP",500,,51,,"69 Rue Bourbon","Charleville-Mézières","08105","69","08105_0450_00069","69 Rue de Bourbon 08000 Charleville-Mézières","08000",0.83,"Rue de Bourbon",823719.5,6965078.9,8000,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","CHARLEVILLE MEZIERES","08","44",,,,,,,,,,,,,,,,,,
"2344T1700567U","2023-05-24","2023-05-24","2023-05-16","DPE 2006 tertiaire et ERP",,"2033-05-23",2.2,,"dpe tertiaire facture",,,"C","A",161.3,4.5,1990,"5ème Catégorie","1989-2000","W : Administrations, banques, bureaux",4,108,100,,"4 Rue Albert Londres","Nantes","44109","4","44109_0085_00004","4 Rue Albert Londres 44300 Nantes","44300",0.68,"Rue Albert Londres",359603.94,6692650.46,44300,0,,"AE23-136-210",,"Bureaux - 1er étage - Lot n° 3, Parkings ext. - Lots n° 15-16-17-18-19","adresse géocodée ban à l'adresse","NANTES","44","52",8331,19161.3,"Électricité","périmètre de l'usage inconnu",1545.6,2023,,,,,,,,,,,,
"2233T2770364J","2022-11-22","2022-11-22","2022-11-21","DPE 2006 tertiaire et ERP",,"2032-11-21",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,81,100,,"240 avenue Pierre Brossolette","Coutras","33138","240","33138_0775_00240","240 Rue Pierre Brossolette 33230 Coutras","33230",0.67,"Rue Pierre Brossolette",453584.01,6442783.24,33230,0,,"22-11-2632-3",,,"adresse géocodée ban à l'adresse","COUTRAS","33","75",,,,,,,,,,,,,,,,,,
"2303T0724926O","2023-03-06","2023-03-06","2023-03-06","DPE 2006 tertiaire et ERP",,"2033-03-05",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,44,100,,"13 PASSAGE DE L'AMIRAUTE","Vichy","03310","13","03310_0169_00013","13 Passage de lâ€ Amiraute 03200 Vichy","03200",0.61,"Passage de lâ€ Amiraute",732549.19,6558442.28,3200,0,,"1867",,,"adresse géocodée ban à l'adresse","VICHY","03","84",,,,,,,,,,,,,,,,,,
"2237T1067716B","2022-05-16","2022-05-13","2022-05-13","DPE 2006 tertiaire et ERP",,"2032-05-12",2.1,,"dpe tertiaire facture",,,"B","A",39,1.1,1949,,"1948-1974","autres tertiaires non ERP",500,,121,,"20 Avenue de Saint-Nicolas","Bourgueil","37031","20","37031_1385_00020","20 Avenue de Saint-Nicolas 37140 Bourgueil","37140",0.63,"Avenue de Saint-Nicolas",485523.6,6691089.96,37140,,"Comité des Fêtes",,,,"adresse non géocodée ban car aucune correspondance trouvée","BOURGUEIL","37","24",2051,4717.3,"Électricité","périmètre de l'usage inconnu",372.3,2020,2048,4710.4,"Électricité","périmètre de l'usage inconnu",371.8,2021,,,,,,
"2272T0861073P","2022-04-24","2022-04-20","2022-04-20","DPE 2006 tertiaire et ERP",,"2032-04-19",2.1,,"dpe tertiaire facture",,,"D","D",231.3,39.6,1970,,"1948-1974","autres tertiaires non ERP",500,,1008.7,,"de Belle-Ile","Coulaines","72095","22","72095_0032_00022","22 Rue de Belle-Ile 72190 Coulaines","72190",0.87,"Rue de Belle-Ile",491073.75,6773351.5,72190,,,,,,"adresse géocodée ban à l'adresse","COULAINES","72","52",167731,167731,"Gaz naturel","périmètre de l'usage inconnu",10753.9,2022,28311,65115.3,"Électricité","périmètre de l'usage inconnu",4582.6,2021,,,,,,
"2256T0338455H","2022-02-21","2022-02-21","2022-01-20","DPE 2006 tertiaire et ERP",,"2032-02-20",2.1,,"dpe tertiaire vierge",,,,,,,1948,"5ème Catégorie","1948-1974","N : Restaurants et débits de boisson",0,355.8,100,,"26 - 28 Rue du Port - Penerf","Damgan","56052","28","56052_0165_00028","28 Rue du Port 56750 Damgan","56750",0.49,"Rue du Port",277151.11,6727602.55,56750,0,,,,,"adresse géocodée ban à l'adresse","DAMGAN","56","53",,,,,,,,,,,,,,,,,,
"2149T0909035J","2021-12-15","2021-12-15","2021-12-14","DPE 2006 tertiaire et ERP",,"2031-12-14",2,,"dpe tertiaire vierge",,,"A","A",0.1,0.1,1989,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",0,12.1,100,,"RUE DE BRECHOTIERE","Trémentines","49355",,"49355_0408","Rue de la Brechotiere 49340 Trémentines","49340",0.38,,413344.81,6676403.57,49340,0,,,,"Ce bien ne fait pas partie d'une copropriété","adresse géocodée ban à l'adresse","TREMENTINES, France","49","52",,,,,,,,,,,,,,,,,,
"2129T0314942W","2021-09-14","2021-09-14","2021-09-14","DPE 2006 tertiaire et ERP",,"2031-09-13",1,,"dpe tertiaire vierge",,,"A","A",0.1,0.1,1947,"5ème Catégorie","avant 1948","N : Restaurants et débits de boisson",,74.3,100,,"49 rue de Verdun","Brest","29019","49","29019_5115_00049","49 Rue de Verdun 29200 Brest","29200",0.82,"Rue de Verdun",148642.81,6837009.2,29200,0,,,,,"adresse géocodée ban à l'adresse","BREST","29","53",0.1,0.1,"Électricité","périmètre de l'usage inconnu",0.1,0,,,,,,,,,,,,
"2112T0956820V","2021-12-20","2021-12-20","2021-12-20","DPE 2006 tertiaire et ERP",,"2031-12-19",2,,"dpe tertiaire vierge",,,,,,,1948,"5ème Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",0,238,100,,"21, Avenue Joseph Vidal","Villecomtal","12298","21","12298_0180_00021","21 Avenue Joseph Vidal 12580 Villecomtal","12580",0.44,"Avenue Joseph Vidal",665386.49,6382264.86,12580,0,,,,,"adresse géocodée ban à l'adresse","VILLECOMTAL","12","76",,,,,,,,,,,,,,,,,,
"2169T0878733R","2021-12-09","2021-12-09","2021-12-09","DPE 2006 tertiaire et ERP",,"2031-12-08",1.1,,"dpe tertiaire vierge",,,"A","A",0.1,0.1,2017,"5ème Catégorie","2013-2021","GHW : Bureaux",0,105,100,,"165 Rue Barthelemy Thimonnier","Brignais","69027","165","69027_0055_00165","165 Rue Barthelemy Thimonnier 69530 Brignais","69530",0.96,"Rue Barthelemy Thimonnier",837520.57,6510970.65,69530,0,,,,"Etage :","adresse non géocodée ban car aucune correspondance trouvée","BRIGNAIS","69","84",0.1,0.1,"Électricité","périmètre de l'usage inconnu",0.1,,,,,,,,,,,,,
"2381T0862591J","2023-03-15","2023-03-15","2023-03-14","DPE 2006 tertiaire et ERP",,"2033-03-14",2.2,,"dpe tertiaire vierge",,,,,,,,"5ème Catégorie","1989-2000","locaux d'entreprise (bureaux)",0,84,100,,"54 Rue Gustave Eiffel","Albi","81004","54","81004_1688_00054","54 Rue Gustave Eiffel 81000 Albi","81000",0.66,"Rue Gustave Eiffel",632867.45,6313594.24,81000,0,,"DIA-FBE01-2303-013",,,"adresse géocodée ban à l'adresse","ALBI","81","76",,,,,,,,,,,,,,,,,,
"2257T2836671O","2022-11-27","2022-11-27","2022-10-25","DPE 2006 tertiaire et ERP",,"2032-11-26",2.2,,"dpe tertiaire vierge dans un bâtiment de logement",,,,,,,,"5ème Catégorie","avant 1948","L : Salles d'auditions, de conférences, de réunions, de spectacles ou à usage multiple",0,124.6,100,,"4 RUE DU CHARRON","Wintersbourg","57747","4","57747_0050_00004","4 Rue du Charron 57635 Wintersbourg","57635",0.35,"Rue du Charron",1007701.5,6862189.9,57119,0,,"2022-10-048",,,"adresse géocodée ban à l'adresse","WINTERSBOURG","57","44",,,,,,,,,,,,,,,,,,
"2191T0905541P","2021-12-13","2021-12-10","2021-12-10","DPE 2006 tertiaire et ERP",,"2031-12-09",1.1,,"dpe tertiaire bâtiment neuf",,,,,,,2000,,"1989-2000","locaux d'entreprise (bureaux)",500,,552.2,,"de Longpont","Montlhéry","91425",,"91425_0247","Rue de Longpont 91310 Montlhéry","91310",0.96,,646617.49,6838436.25,91310,,"ENERIA CAT Bâtiment 6",,,,"adresse géocodée ban à l'adresse","MONTLHÉRY","91","11",,,,,,,,,,,,,,,,,,
"2275T2736011S","2022-11-17","2022-11-17","2022-11-02","DPE 2006 tertiaire et ERP",,"2032-11-16",2.2,,"dpe tertiaire facture dans un bâtiment de logement",,,"C","A",92.9,2.6,,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",2,90,100,,"69 RUE QUINCAMPOIX
RDC","Paris","75103","69","75103_7970_00069","69 Rue Quincampoix 75003 Paris","75003",0.65,"Rue Quincampoix",652383.1,6862642.67,75003,0,,"22-11-AM007",,,"adresse géocodée ban à l'adresse","PARIS","75","11",4000,9200,"Électricité","périmètre de l'usage inconnu",130,2022,,,,,,,,,,,,
"2282T0919502G","2022-04-29","2022-04-29","2022-04-07","DPE 2006 tertiaire et ERP",,"2032-04-28",2.1,,"dpe tertiaire vierge",,,,,,,1900,,"avant 1948","locaux d'entreprise (bureaux)",500,,89,,"Gambetta","Villebrumier","82194","2","82194_0027_00002","2 Rue Leon Gambetta 82370 Villebrumier","82370",0.75,"Rue Leon Gambetta",575777.77,6313179.25,82370,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","VILLEBRUMIER","82","76",,,,,,,,,,,,,,,,,,
"2294T0213066C","2022-02-03","2022-02-03","2021-07-01","DPE 2006 tertiaire et ERP",,"2032-02-02",2.1,,"dpe tertiaire facture",,,"C","A",125.4,9.6,1971,"1ère Catégorie","1948-1974","M : Magasins de vente, centres commerciaux",292841658,18742,116912,,"Centre commercial Belle Epine AVENUE DE FONTAINEBLEAU","Thiais","94073",,"94073_3550","Avenue de Fontainebleau 94320 Thiais","94320",0.64,,653587.44,6851963.13,94531,0,,,,,"adresse géocodée ban à l'adresse","THIAIS CEDEX","94","11",5678725.1,13061067.7,"Électricité","périmètre de l'usage inconnu",318065,2019,4186609.2,4186609.2,"Gaz naturel","périmètre de l'usage inconnu",214789.5,2019,,,,,,
"2291T0727716F","2022-04-07","2022-04-07","2022-04-05","DPE 2006 tertiaire et ERP",,"2032-04-06",2.1,,"dpe tertiaire facture",,,"F","E",382.2,49.1,1947,"5ème Catégorie","avant 1948","N : Restaurants et débits de boisson",0,201,100,,"7 rue Pierre Curie","Corbeil-Essonnes","91174","7","91174_3670_00007","7 Rue Pierre Curie 91100 Corbeil-Essonnes","91100",0.62,"Rue Pierre Curie",661079.26,6833134.65,91100,0,,,,,"adresse géocodée ban à l'adresse","CORBEIL ESSONNES","91","11",42714.4,42714.4,"Gaz naturel","périmètre de l'usage inconnu",2479,2022,18165,41779.5,"Électricité","périmètre de l'usage inconnu",3917.3,2021,,,,,,
"2274T0373810U","2022-02-24","2022-02-21","2022-02-14","DPE 2006 tertiaire et ERP",,"2032-02-20",2,,"dpe tertiaire facture",,,"D","D",225.9,44.2,1970,"5ème Catégorie","1948-1974","W : Administrations, banques, bureaux",,146.3,133,,"7 rue Charles de Gaulle","Rumilly","74225","7","74225_0285_00007","7 Rue Charles de Gaulle 74150 Rumilly","74150",0.96,"Rue Charles de Gaulle",928315.76,6534014.93,74150,,,,,,"adresse non géocodée ban car aucune correspondance trouvée","RUMILLY","74","84",5700,13110,"Électricité","périmètre de l'usage inconnu",820.8,,2000,2000,"Fioul domestique","périmètre de l'usage inconnu",1435.7,,,,,,,
"2372T0205821Q","2023-01-23","2023-01-23","2023-01-23","DPE 2006 tertiaire et ERP",,"2033-01-22",2.2,,"dpe tertiaire facture",,,"C","A",123.3,3.4,,"5ème Catégorie","avant 1948","W : Administrations, banques, bureaux",0,30.6,100,,"8 RUE DE SABLE","Saint-Georges-du-Bois","72280","8","72280_0270_00008","8 rue de Sablé 72700 Saint-Georges-du-Bois","72700",0.54,"rue de Sablé",483580.65,6767523.14,72700,0,,"2023010101DT",,,"adresse géocodée ban à l'adresse","ST GEORGES DU BOIS","72","52",1804,4149.2,"Électricité","périmètre de l'usage inconnu",178,2023,,,,,,,,,,,,
"2232T0002344A","2022-01-03","2022-01-03","2021-12-28","DPE 2006 tertiaire et ERP",,"2032-01-02",2,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,28,100,,"12 RUE VICTOR HUGO","Vic-Fezensac","32462","12","32462_1700_00012","12 Rue Victor Hugo 32190 Vic-Fezensac","32190",0.56,"Rue Victor Hugo",482829.93,6299235.19,32190,0,,,,,"adresse géocodée ban à l'adresse","VIC FEZENSAC","32","76",,,,,,,,,,,,,,,,,,
"2263T0621897E","2022-03-26","2022-03-26","2022-03-22","DPE 2006 tertiaire et ERP",,"2032-03-25",2.1,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","W : Administrations, banques, bureaux",0,126,100,,"6 RUE DE LA POSTE
BUREAUX - REZ DE CHAUSSEE","Pont-du-Château","63284","6","63284_1140_00006","6 rue de la Poste 63430 Pont-du-Château","63430",0.55,"rue de la Poste",719347.33,6522086.52,63430,0,,,,,"adresse non géocodée ban car aucune correspondance trouvée","PONT DU CHATEAU","63","84",,,,,,,,,,,,,,,,,,
"2359T1014287Z","2023-03-27","2023-03-27","2023-03-27","DPE 2006 tertiaire et ERP",,"2033-03-26",2.2,,"dpe tertiaire facture",,,"F","C",506.6,14.1,,"5ème Catégorie","avant 1948","autres tertiaires non ERP",0,130,100,,"48 Ctr du Marais","Ramillies","59492","48","59492_0060_00048","48 Contour du Marais 59161 Ramillies","59161",0.47,"Contour du Marais",718664.77,7012047.44,59161,0,,"HE-9760/27-03-23/LEGERON/DTH",,,"adresse géocodée ban à l'adresse","RAMILLIES","59","32",31500,72450,"Électricité","périmètre de l'usage inconnu",9137,2023,,,,,,,,,,,,
"2269T2477490J","2022-10-21","2022-10-21","2022-10-21","DPE 2006 tertiaire et ERP",,"2032-10-20",2.2,,"dpe tertiaire bâtiment neuf",,,"A","A",47.8,1.9,,"5ème Catégorie","après 2021","W : Administrations, banques, bureaux",15,5018.7,100,"Réseau de Chauffage urbain","42 rue Simone Veil","Vénissieux","69259","42","69259_1572_00042","42 Rue Simone Veil 69200 Vénissieux","69200",0.68,"Rue Simone Veil",846318.19,6514841.13,69200,0,,"220338-008",,"Etage : R+6","adresse géocodée ban à l'adresse","VENISSIEUX","69","84",40149.6,92344.1,"Électricité","Refroidissement",5548.7,2022,27602.9,63486.6,"Électricité","Eclairage",3814.7,2022,59722.5,59722.5,"Réseau de Chauffage urbain","Chauffage",5261.6,2022
"2256T0529565R","2022-03-16","2022-03-16","2022-03-15","DPE 2006 tertiaire et ERP",,"2032-03-15",2.1,,"dpe tertiaire vierge",,,,,,,1947,"5ème Catégorie","avant 1948","M : Magasins de vente, centres commerciaux",0,53,100,,"14 rue General de Gaulle","Plouay","56166","14","56166_0380_00014","14 Rue du Général de Gaulle 56240 Plouay","56240",0.54,"Rue du Général de Gaulle",227209.75,6776237.32,56240,0,,,,,"adresse géocodée ban à l'adresse","PLOUAY","56","53",,,,,,,,,,,,,,,,,,
"2184T0625471K","2021-11-04","2021-11-04","2021-11-01","DPE 2006 tertiaire et ERP",,"2031-11-03",1.1,,"dpe tertiaire vierge",,,"A","A",0.1,0.1,1948,"5ème Catégorie","1948-1974","N : Restaurants et débits de boisson",1,154.3,100,,"Restaurant Le Pan'Orama
126 Le mont Serein","Beaumont-du-Ventoux","84015",,"84015_B062","Mont Serein 84340 Beaumont-du-Ventoux","84340",0.46,,881362.72,6345471.96,84340,0,,,,,"adresse géocodée ban à l'adresse","BEAUMONT DU VENTOUX","84","93",0.1,0.1,"Électricité","périmètre de l'usage inconnu",0.1,,,,,,,,,,,,,
"2330T0818127G","2023-03-13","2023-03-09","2023-03-09","DPE 2006 tertiaire et ERP",,"2033-03-08",2.2,,"dpe tertiaire vierge",,,,,,,2009,"1ère Catégorie","2006-2012","W : Administrations, banques, bureaux",500,,141.4,,"Louis Landi","Nîmes","30189","150","30189_4873_00150","150 Rue Louis Landi 30900 Nîmes","30900",0.62,"Rue Louis Landi",809158.55,6303193.45,30000,5,"l'Axiome","Batiment B",,"A droite","adresse non géocodée ban car aucune correspondance trouvée","NÎMES","30","76",,,,,,,,,,,,,,,,,,
"2275T2510396F","2022-10-25","2022-10-25","2022-10-21","DPE 2006 tertiaire et ERP",,"2032-10-24",2.2,,"dpe tertiaire facture",,,"C","A",177.9,5,,"5ème Catégorie","avant 1948","W : Administrations, banques, bureaux",100,2268,100,,"127 boulevard Diderot","Paris","75112","127","75112_2792_00127","127 Boulevard Diderot 75012 Paris","75012",0.8,"Boulevard Diderot",655394.05,6861068.26,75012,0,,"315_2022_1020",,,"adresse géocodée ban à l'adresse","PARIS 12, France","75","11",193010,443923,"Électricité","périmètre de l'usage inconnu",11465,2022,,,,,,,,,,,,
"2209T1926656D","2022-08-27","2022-08-27","2022-08-17","DPE 2006 tertiaire et ERP",,"2032-08-26",2.2,,"dpe tertiaire facture",,,"C","B",157,4.4,,"5ème Catégorie","1948-1974","J : Structures d’accueil pour personnes âgées ou personnes handicapées",6,310.1,100,,"1bis Chemin de la Coume","Lavelanet","09160","1bis","09160_0380_00001_bis","1bis Chemin de la Coume 09300 Lavelanet","09300",0.56,"Chemin de la Coume",605980.76,6205169.93,9300,0,,"4721/ALIMERABET",,,"adresse géocodée ban à l'adresse","LAVELANET","09","76",23280,53544,"Électricité","périmètre de l'usage inconnu",6753,2021,,,,,,,,,,,,
"2269T0077691K","2022-01-14","2022-01-14","2022-01-11","DPE 2006 tertiaire et ERP",,"2032-01-13",2.1,,"dpe tertiaire facture",,,"C","A",128.6,3.6,1947,"5ème Catégorie","avant 1948","W : Administrations, banques, bureaux",0,120,100,,"86 Cours Gambetta","Lyon","69387","86","69387_2985_00086","86 Cours Gambetta 69007 Lyon","69007",0.72,"Cours Gambetta",843955.14,6518632.26,69007,0,,,,"Etage : RDC ;","adresse géocodée ban à l'adresse","LYON","69","84",7378,16969.4,"Électricité","périmètre de l'usage inconnu",2140,2022,,,,,,,,,,,,
"2274T2532117P","2022-10-27","2022-10-27","2022-10-24","DPE 2006 tertiaire et ERP",,"2032-10-26",2.2,,"dpe tertiaire facture",,,"C","B",155.6,4.3,1982,,"1978-1982","autres tertiaires non ERP",500,,3601,,"du fayet","Domancy","74103","815","74103_0084_00815","815 Route du fayet 74700 Domancy","74700",0.86,"Route du fayet",984220.65,6540733.49,74700,,,,,,"adresse géocodée ban à l'adresse","DOMANCY","74","84",249993,574983.9,"Électricité","périmètre de l'usage inconnu",39990.5,2020,242225,557117.5,"Électricité","périmètre de l'usage inconnu",38747.9,2021,238483,548510.9,"Électricité","périmètre de l'usage inconnu",38149.3,2022
