Pays,population,IDH,PIB_par_habitant,import_kg_poulet_par_habitant,Politic_score,Access_Elec_Pct,LPI,consommation_kg_poulet_par_habitant,dist,Continent
Malawi,21104482.0,0.517,598.2935454658399,0.014275640596153936,-0.511,15.6,2.59,4.6586852972747685,7650.657,Africa
Maldives,525994.0,0.766,12530.359943269315,26.843956394939866,1.021,100.0,2.67,15.422818511237772,8294.178,Asia
Malte,532956.0,0.924,41676.30423337011,10.544397661345402,0.897,100.0,3.3,18.277850329107842,1752.693,Europe
Maroc,37712505.0,0.71,3829.9634067002444,0.15304976426254369,-0.81,100.0,2.54,15.130166240614352,1816.853,Africa
Maurice,1273588.0,0.806,11304.383584801364,0.2379733477388292,0.171,100.0,2.5,46.143619443650536,9422.744,Africa
Mauritanie,5022441.0,0.563,2120.825386301203,10.238710618999805,-1.056,50.3,2.3,11.216599657417579,3794.96,Africa
Mexique,129739759.0,0.789,13826.130917832212,7.454248392738267,1.615,99.7,2.9,37.42287589727988,9206.813,North America
Mongolie,3431932.0,0.747,5790.373578788857,7.3573951931448525,0.101,100.0,2.5,7.385563000665514,7053.423,Asia
Mozambique,33635160.0,0.493,622.985625101828,1.3102328040062838,-0.744,36.0,2.684105,5.852441611694429,8855.655,Africa
Namibie,2963095.0,0.665,4168.285135643643,8.037791565913343,-0.293,56.7,2.9,6.246728505160989,8084.97,Africa
Nicaragua,6823613.0,0.706,2612.8691508442816,2.078864964938662,3.141,88.3,2.5,25.938707250836178,8906.699,North America
Niger,26159867.0,0.419,642.937917880087,0.18361675921364584,-0.442,20.1,2.07,0.9628588708038921,3932.638,Africa
Nigéria,227882945.0,0.56,1645.5108611528608,0.002977976258820071,-0.594,61.2,2.6,1.4253002127912644,4722.149,Africa
Norvège,5519167.0,0.97,87931.89689748471,0.12709889010424943,-2.111,100.0,3.7,19.14161321808164,1342.89,Europe
Oman,5049269.0,0.858,20972.483088740173,18.11428743447814,-2.974,100.0,3.3,13.219567030395883,5620.005,Asia
Ouganda,48656601.0,0.582,1048.6253902117,0.001227171622612932,-0.251,51.5,2.58,1.8764757118977546,6128.938,Africa
Ouzbékistan,35652307.0,0.74,2549.3202812373406,2.000666885315444,-1.182,100.0,2.6,6.7499979734831745,5153.064,Asia
Pakistan,247504495.0,0.544,1211.550430007342,0.0002489651753597445,1.314,95.6,2.42,8.70167444837719,5932.586,Asia
Panama,4458759.0,0.839,18700.80890220799,2.76038018650481,-0.835,97.0,3.1,48.7438163847833,8671.104,North America
Papouasie-Nouvelle-Guinée,10389635.0,0.576,2985.686759159489,2.7764189983574976,-1.066,20.5,2.7,3.4328684308929045,14565.84,Oceania
Paraguay,6844146.0,0.756,6276.195174094766,0.0008036064689444088,-0.927,99.8,2.7,9.161521393611416,10168.73,South America
Pays-Bas (Royaume des),18092524.0,0.955,63803.22089930625,36.07128668172556,-0.091,100.0,4.1,14.332099822003828,427.9169,Europe
Philippines,114891199.0,0.72,3804.8725644859883,2.3373233314416018,0.506,98.0,3.3,15.357432034458967,10751.64,Asia
Pologne,38762844.0,0.906,20875.679240769845,0.7177509988689168,3.355,100.0,3.6,20.918016490224506,1368.178,Europe
Portugal,10430738.0,0.89,27717.529638267206,5.727782636281344,-1.189,100.0,3.4,26.293703283506883,1452.86,Europe
Pérou,33845617.0,0.794,7906.584585945058,2.8017010297079237,2.519,96.2,3.0,43.34665903712141,10268.11,South America
Qatar,2979082.0,0.886,71499.47847357005,32.58405441676329,-2.078,100.0,3.5,45.40847482546637,4981.916,Asia
Roumanie,19118479.0,0.845,18347.510565563298,4.329018537510228,0.92,100.0,3.2,19.800352318822014,1875.018,Europe
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,68682962.0,0.946,49224.06405259575,6.578486670391414,-0.281,100.0,3.7,29.242157174293094,342.9475,Europe
Rwanda,13954471.0,0.578,1010.2811106920499,0.15486649404337866,0.779,63.9,2.8,0.9001129458794963,6253.41,Africa
République arabe syrienne,23594623.0,0.564,1230.270395759237,0.39508408335238077,3.1,88.4,2.3,4.866992788992644,3280.692,Asia
République de Corée,51748739.0,0.937,35538.22356649116,4.750545129225275,0.855,100.0,3.8,22.340535099802143,8981.467,Asia
République de Moldova,3067070.0,0.785,5393.392330791276,6.7243069118083385,-0.251,100.0,2.5,21.396146811125927,1976.854,Europe
République dominicaine,11331265.0,0.776,10717.62767122647,4.112682035059634,-0.903,99.6,2.6,38.14353648952699,7178.52,North America
République démocratique populaire lao,7664993.0,0.617,1957.9990052176172,1.2111400493125042,-1.474,96.5,2.4,6.580063412973763,9245.57,Asia
République-Unie de Tanzanie,66617606.0,0.555,1213.4335487228407,0.14137914232462812,-0.833,48.3,2.990185,1.5947386341082266,7168.277,Africa
Salvador,6309624.0,0.678,5391.068504240507,2.7576254940072498,1.526,98.3,2.7,28.883096678978017,8984.298,North America
Sao Tomé-et-Principe,230871.0,0.637,2962.9907957257515,14.64116324700807,-2.372,81.3,2.65,16.98472307045926,5432.882,Africa
Sierra Leone,8460512.0,0.467,757.8583310324482,3.6425431463249507,0.639,35.5,2.08,5.983782068981168,4724.351,Africa
Slovaquie,5518055.0,0.88,24086.083997712958,19.681052472293228,0.551,100.0,3.3,18.350226665011494,1094.61,Europe
Slovénie,2118396.0,0.931,32641.899067502014,9.00170223131086,1.958,100.0,3.3,26.851433820683194,965.7366,Europe
