Domaine,Zone,Élément,Produit,Année,Édition,Unité,Valeur
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Aruba","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Aruba","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No",""
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.75"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.5"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.7"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.8"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Australie","Valeur","Number of people unable to afford a healthy diet (NUA), million","2024","Juillet 2025 (rapport SOFI)","millions de No","0.9"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Cost of animal source foods, LCU per person per day","2021","Juillet 2025 (rapport SOFI)","UML/personne/jour","0.41"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Cost of animal source foods, PPP dollar per person per day","2021","Juillet 2025 (rapport SOFI)","Int$ (PPP) per person per day","0.55"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Number of people unable to afford a healthy diet (NUA), million","2017","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Number of people unable to afford a healthy diet (NUA), million","2018","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Number of people unable to afford a healthy diet (NUA), million","2019","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Number of people unable to afford a healthy diet (NUA), million","2020","Juillet 2025 (rapport SOFI)","millions de No","0.2"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Number of people unable to afford a healthy diet (NUA), million","2021","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Number of people unable to afford a healthy diet (NUA), million","2022","Juillet 2025 (rapport SOFI)","millions de No","0.3"
"Coût et abordabilité d’une alimentation saine
 (CoAHD)","Autriche","Valeur","Number of people unable to afford a healthy diet (NUA), million","2023","Juillet 2025 (rapport SOFI)","millions de No","0.3"
